			基データ(↓日本語なら「en⇨ja」に変える	アフリカーンス語	アルバニア語	アムハラ語	アラビア文字	アルメニア語	アゼルバイジャン語	バスク語	ベラルーシ語	ベンガル文字	ボスニア語	ブルガリア語	カタロニア語	中国語	中国語（簡体）	中国語（繁体）	クロアチア語	チェコ語	デンマーク語	オランダ語	英語	エストニア語	フィンランド語	フランス語	ガリシア語	グルジア語	ドイツ語	ギリシャ語	グジャラト語	ヘブライ語	ヒンディー語	ハンガリー語	アイスランド語	インドネシア語	イタリア語	日本語	カンナダ語	カザフ語	クメール語	韓国語	キルギス語	ラオ語	ラトビア語	リトアニア語	マケドニア語	マレー語	マラヤーラム文字	マラーティー語	モンゴル語	ミャンマー語（ビルマ語）	ネパール語	ノルウェー語	オリヤ語	パシュト語	ペルシャ語	ポーランド語	ポルトガル語（ポルトガル、ブラジル）	パンジャブ語	ルーマニア語	ロシア語	セルビア語	シンハラ語	スロバキア語	スロベニア語	スペイン語	スワヒリ語	スウェーデン語	タガログ語（フィリピン語）	タミル語	テルグ語	タイ語	トルコ語	ウクライナ語	ウルドゥー語	ウズベク語	ベトナム語	ズールー語
ページ	コメント	jsonProperty	en	af	sq	am	ar	hy	az	eu	be	bn	bs	bg	ca	zh	zh-CN	zh-TW	hr	cs	da	nl	en	et	fi	fr	gl	ka	de	el	gu	he	hi	hu	is	id	it	ja	kn	kk	km	ko	ky	lo	lv	lt	mk	ms	ml	mr	mn	my	ne	no	or	ps	fa	pl	pt	pa	ro	ru	sr	si	sk	sl	es	sw	sv	tl	ta	te	th	tr	uk	ur	uz	vi	zu
アプリ情報	シンプルペイント	simpleDrawPaint	Simple Draw Paint	Eenvoudige teken verf	Bojë e thjeshtë barazimi	ቀላል ስዕል	رسم رسم بسيط	Պարզ նկարեք ներկ	Sadə Draw Boyası	Marrazteko pintura sinplea	Простая маляваная фарба	সাধারণ অঙ্কন পেইন্ট	Jednostavna boja	Проста боя за рисуване	Pintura de dibuix senzill	简单的绘画油漆	简单的绘画油漆	簡單的繪畫油漆	Jednostavna boja za crtanje	Jednoduchá remíza	Enkel trækmaling	Eenvoudige trekverf	Simple Draw Paint	Lihtne joonistusvärv	Yksinkertainen vetomaali	Peinture de tirage simple	Pintura sinxela de sorteo	მარტივი გათამაშების საღებავი	Einfache Ziehfarbe	Απλό χρώμα κλήρωσης	સરળ ડ્રો પેઇન્ટ	צבע צייר פשוט	सरल ड्रा पेंट	Egyszerű rajzfesték	Einföld teikna málningu	Cat gambar sederhana	Semplice sorta di disegno	シンプルペイント	ಸರಳ ಡ್ರಾ ಪೇಂಟ್	Қарапайым сурет бояуы	ថ្នាំលាបគូរសាមញ្ញ	간단한 드로우 페인트	Жөнөкөй сүрөт боёк	ສີແຕ້ມງ່າຍດາຍ	Vienkārša zīmēšanas krāsa	Paprasti piešimo dažai	Едноставна боја за цртање	Cat menarik mudah	ലളിതമായ നറുക്കെടുപ്പ് പെയിന്റ്	साधा ड्रॉ पेंट	Энгийн зурах будаг	ရိုးရှင်းသောဆွဲဆေးသုတ်ဆေး	साधारण ड्र charts पेंट	Enkel tegningsmaling	ସରଳ ଡ୍ର ପେଣ୍ଟ୍ |	ساده رسم	نقاشی ساده قرعه کشی	Prosta farba do rysowania	Tinta de desenho simples	ਸਧਾਰਣ ਖਿੱਚ ਚਿੱਤਰ	Vopsea simplă de tragere la tragere	Простая краска рисования	Једноставно цртање боје	සරල අඳින්න තීන්ත	Jednoduché kreslenie farby	Preprosta barva risanja	Pintura de dibujo simple	Rangi rahisi ya kuchora	Enkel dragfärg	Simpleng gumuhit ng pintura	எளிய டிரா பெயிண்ட்	సాధారణ డ్రా పెయింట్	สีวาดง่าย ๆ	Basit Draw Boya	Проста фарба з малювання	سادہ ڈرا پینٹ	Oddiy durang bo'yoq	Sơn vẽ đơn giản	Upende olula wokudweba
トップページ	無選択	noSelection	No selection	Geen keuse nie	Asnjë përzgjedhje	ምንም ምርጫ የለም	لا اختيار	Ընտրություն չկա	Bir seçim yoxdur	Hautaketa ez	Няма выбару	অনির্বাচিত	Nema odabira	Без избор	Sense selecció	没有选择	没有选择	沒有選擇	Nema odabira	Žádný výběr	Intet valg	Geen selectie	No selection	Valik pole	Ei valinta	Pas de choix	Sen selección	შერჩევა არ არის	Keine Auswahl	Χωρίς επιλογή	કોઈ પસંદગી નથી	אין בחירה	कोई चयन नहीं	Nincs választás	Ekkert úrval	Tidak ada pilihan	Nessuna selezione	無選択	ಆಯ್ಕೆ ಇಲ್ಲ	Таңдау жоқ	គ្មានជម្រើស	선택이 없습니다	Тандоо жок	ບໍ່ມີການເລືອກ	Nav atlases	Nėra atrankos	Без избор	Tiada pilihan	തിരഞ്ഞെടുക്കപ്പെടുന്നില്ല	निवड नाही	Сонголтоо байхгүй	ရွေးချယ်ခြင်းမရှိပါ	कुनै चयन छैन	Ingen valg	ନା ଚୟନ ନାହିଁ |	انتخاب نشته	بدون انتخاب	Brak wyboru	Nenhuma seleção	ਕੋਈ ਚੋਣ ਨਹੀਂ	Fără selecție	Нет выбора	Нема избора	තෝරා ගැනීමක් නැත	Žiadny výber	Brez izbire	Sin selección	Hakuna uteuzi	Inget val	Walang pagpipilian	தேர்வு இல்லை	ఎంపిక లేదు	ไม่มีการเลือก	Seçim yok	Немає вибору	کوئی انتخاب نہیں	Tanlov yo'q	Không có sự lựa chọn nào	Akukho ukukhetha
	ライン	line	Line	Ry	Linjë	መስመር	خط	Գիծ	Cərgə	Lerro	Чарга	লাইন	Linija	Линия	Filera	线	线	線	Crta	Čára	Linje	Lijn	Line	Joon	Linja	Ligne	Liña	ხაზი	Linie	Γραμμή	પંક્તિ	קַו	रेखा	Vonal	Lína	Garis	Linea	ライン	ರೇಖೆ	Түзу	ការឈរចាចយរ	선	Сызык	ເສັ້ນ	Līnija	Linija	Линија	Garis	നിര	ओळ	Шугам	မျဉ်းကေြာင်း	तार	Linje	ରେଖା	ليکه	خط	Linia	Linha	ਲਾਈਨ	Linia	Линия	Линија	රේඛාව	Linka	Linija	Línea	Mstari	Linje	Linya	வரி	లైన్	เส้น	Astar	Лінія	لائن	Chiziq	Hàng	Ulayini
	丸	circle	Circle	Omsirkel	Rreth	ክበብ	دائرة	Շրջան	Çevrilmək	Zirkulu	Кола	বৃত্ত	Krug	Кръг	Cercle	圆圈	圆圈	圓圈	Krug	Kruh	Cirkel	Cirkel	Circle	Ring	Ympyrä	Cercle	Círculo	წრე	Kreis	Κύκλος	સર્કલ	מעגל	घेरा	Kör	Hringur	Lingkaran	Cerchio	丸	ವೃತ್ತ	Айналу	ប័ត្ធ	원	Айлана	ວົງວຽນ	Riņķot	Ratas	Круг	Bulatan	വലയം	मंडळ	Дүгуй	အဝိုင်း	गोलाकार	Sirkel	ବୃତ୍ତ	دایره	دایره	Koło	Círculo	ਚੱਕਰ	Cerc	Круг	Круг	රවුම	Kruh	Krog	Circulo	Mzunguko	Cirkel	Bilog	வட்டம்	వృత్తం	วงกลม	Daire	Кола	دائرہ	Aylanmoq	Vòng tròn	Zungeza
	矢印	arrow	Arrow	Pyl	Shigjetë	ቀስት	سهم	Սլաք	Ox	Gezi	Страла	তীর	Strelica	Стрелка	Fletxa	箭	箭	箭	Strijela	Šipka	Pil	Pijl	Arrow	Nool	Nuoli	Flèche	Frecha	ისარი	Pfeil	Βέλος	તીર	חֵץ	तीर	Nyíl	Ör	Anak panah	Freccia	矢印	ಬಾಣ	Жебе	របយញ	화살	Arrow	ຕ້ອງການຂາຍ	Bultiņa	Strėlė	Стрелка	Anak panah	അന്വ്	बाण	Сум	မြှား	वाण	Pil	ତୀର	غشی	فلش	Strzałka	Flecha	ਤੀਰ	Săgeată	Стрелка	Стрелац	ඊතලය	Šípka	Puščica	Flecha	Mshale	Pil	Arrow	அம்பு	బాణం	ลูกศร	Ok	Стрілка	تیر	O'q	Mũi tên	Umcibisholo
	点線	dashLine	Dash Line	Dashlyn	Linjë	ዳሽ መስመር	خط داش	Դանակ	Tire xətti	Marratxoa	Рысачка	বিন্দুরেখা	Dash Line	Тире	Línia de guió	虚线	虚线	虛線	Crta	Pomlčka	Dash -linje	Schietlijn	Dash Line	Kriipsuliin	Viivaviiva	Ligne pointillée	Liña de guión	Dash Line	Strich-Linie	Γραμμή παύλας	ત્રાટકવાની રેખા	מקף	डैश रेखा	Szaggatott vonal	DASH LINE	Garis putus-putus	Dash Line	点線	ಡ್ಯಾಶ್ ರೇಖೆ	Сызық сызығы	បន្ទាត់សញ្ញា	대시 라인	Сызык сызыгы	ເສັ້ນ Dash	Svītra līnija	Brūkšnio linija	Линија на цртичка	Garis dash	ഡാഷ് ലൈൻ	डॅश लाइन	Проос шугам	dash လိုင်း	ड्यास रेखा	Dash Line	ଡାସ୍ ଲାଇନ୍ |	ډش کرښه	خط خط	Linia przerywana	Linha de traço	ਡੈਸ਼ ਲਾਈਨ	Linia punctată	Пунктирная линия	Испрекидана линија	ඩෑෂ් ලයින්	Špirála	Črtica	Línea de puntos	Dash Line	Streckad linje	Linya ng dash	கோடு வரி	డాష్ లైన్	เส้นประ	Çizgi çizgisi	Лінія тире	ڈیش لائن	Tirnoq	Đường nét	Umugqa wedeshi
	四角	quadrangle	Quadrangle	Vierhoek	Katërkëndësh	Quadrragle	رباعي الزوايا	Քառանկյունի	Dördbucaqlı	Kuadrilla	Чатырохвугольнік	চতুর্ভুজ	Četverokut	Четириъгълник	Quadrangular	四边形	四边形	四邊形	Četverokut	Čtyřúhelník	Kvadrangle	Vierhoek	Quadrangle	Nelinurk	Nelikulmio	Quadrilatère	Cuadrangulo	ოთხკუთხედი	Viereck	Τετράπλευρο	ચતુર્ભુજ	חָצֵר	अहाता	Négyszög	Quadrangle	Segi empat	Quadrilatero	四角	ಚತುರ್ಭುಜಾಕಣಿ	Төртбұрыш	រយៈចេមុលាត	사각형	Quadrangle	quadrangle	Četrstūris	Keturkampis	Квадрангл	Quadrangle	ക്വാഡ്രംഗിന്	चतुष्पाद	Ртад хагас чулуу	quadrangle	Quadrogres	Firedobling	Quadragle	کواډروپل	چهار گوش	Czworobok	Quadrilátero	ਚਤੁਰਭੁਜ	Patrulater	Четырехугольник	Четвороугаоник	චතුරස්රය	Štvoruholník	Štirikotnik	Cuadrilátero	Quadrangle	Fyrhörning	Quadrangle	நாற்காலி	క్వాడ్రాంగిల్	จัตุรัส	Dörtgen	Чотирикутник	چوکور	To'rtburchak	Hình tứ giác	I-quadrangle
	テキスト	text	Text	Teks	Tekst	ጽሑፍ	نص	Տեքստ	Mətanət	Testu	Тэкст	পাঠ্য	Tekst	Текст	Text	文本	文本	文本	Tekst	Text	Tekst	Tekst	Text	Tekst	Teksti	Texte	Texto	ტექსტი	Text	Κείμενο	લખાણ	טֶקסט	मूलपाठ	Szöveg	Texti	Teks	Testo	テキスト	ಪಠ್ಯ	Мәтін	អត្ថបត	텍스트	Текст	ຂໍ້​ຄວາມ	Teksts	Tekstas	Текст	Teks	മൂലഗന്ഥം	मजकूर	Сэдэв	ဖတ်စာ	मूलपाठ	Tekst	ପାଠ	متن	متن	Tekst	Texto	ਟੈਕਸਟ	Text	Текст	Текст	පෙළ	Text	Besedilo	Texto	Maandishi	Text	Teksto	உரை	వచనం	ข้อความ	Metin	Текст	متن	Matn	Chữ	Umbhalo
	完了	done	Done	Gedoen	I mbaruar	ተከናውኗል	فعله	Կատարած	Tamamlandı	Egin	Зроблены	সম্পন্ন	Gotov	Свършен	Fer	完毕	完毕	完畢	Završen	Hotovo	Færdig	Gedaan	Done	Tehtud	Tehty	Fait	Feito	შესრულებულია	Fertig	Ολοκληρώθηκε	કામ	בוצע	पूर्ण	Kész	Gert	Selesai	Fatto	完了	ಮುಗಿದ	Жасалды	រ្យេឱដេនោ	완료	Бүттү	ແລ້ວ? ແລ້ວ	Darīts	padaryta	Направено	Selesai	നിറവേറ്റി	पूर्ण झाले	Хийх	ပြီးပြီ	पूरा	Ferdig	ସମ୍ପନ୍ନ	شوی	انجام شده	Gotowe	Feito	ਕੀਤਾ	Terminat	Сделанный	Готово	කළා	hotový	Končano	Hecho	Imekamilika	Gjort	Tapos na	முடிந்தது	పూర్తి	เสร็จแล้ว	Tamamlandı	Виконаний	کیا	Bajarildi	Xong	Usulile
